url,name
https://www.imdb.com/title/tt0095016/?ref_=chttp_i_116,다이 하드
https://www.imdb.com/title/tt0434409/?ref_=chttp_i_167,브이 포 벤데타
https://www.imdb.com/title/tt0112471/?ref_=chttp_i_189,비포 선라이즈
https://www.imdb.com/title/tt0050212/?ref_=chttp_i_173,The Bridge on the River Kwai
https://www.imdb.com/title/tt0031381/?ref_=chttp_i_163,바람과 함께 사라지다
https://www.imdb.com/title/tt2024544/?ref_=chttp_i_186,12 Years a Slave
https://www.imdb.com/title/tt0077416/?ref_=chttp_i_203,The Deer Hunter
https://www.imdb.com/title/tt0395169/?ref_=chttp_i_221,Hotel Rwanda
https://www.imdb.com/title/tt0050825/?ref_=chttp_i_65,Paths of Glory
https://www.imdb.com/title/tt0086250/?ref_=chttp_i_102,스카페이스
https://www.imdb.com/title/tt26548265/?ref_=chttp_i_198,Maharaja
https://www.imdb.com/title/tt0090605/?ref_=chttp_i_69,Aliens
https://www.imdb.com/title/tt0114369/?ref_=chttp_i_20,세븐
https://www.imdb.com/title/tt0070047/?ref_=chttp_i_229,엑소시스트: 디렉터스 컷
https://www.imdb.com/title/tt0758758/?ref_=chttp_i_243,Into the Wild
https://www.imdb.com/title/tt3170832/?ref_=chttp_i_219,Room
https://www.imdb.com/title/tt0032553/?ref_=chttp_i_68,The Great Dictator
https://www.imdb.com/title/tt1392214/?ref_=chttp_i_154,프리즈너스
https://www.imdb.com/title/tt0108052/?ref_=chttp_i_7,쉰들러 리스트
https://www.imdb.com/title/tt0050986/?ref_=chttp_i_211,Smultronstället
https://www.imdb.com/title/tt0110413/?ref_=chttp_i_43,레옹
https://www.imdb.com/title/tt1049413/?ref_=chttp_i_110,업
https://www.imdb.com/title/tt8267604/?ref_=chttp_i_89,가버나움
https://www.imdb.com/title/tt1201607/?ref_=chttp_i_178,Haeri Poteowa jugeumui seongmul - 2bu
https://www.imdb.com/title/tt0119698/?ref_=chttp_i_82,Mononoke-hime
https://www.imdb.com/title/tt1130884/?ref_=chttp_i_138,셔터 아일랜드
https://www.imdb.com/title/tt1950186/?ref_=chttp_i_209,Ford v Ferrari
https://www.imdb.com/title/tt0021749/?ref_=chttp_i_55,City Lights
https://www.imdb.com/title/tt4154796/?ref_=chttp_i_77,어벤져스: 엔드게임
https://www.imdb.com/title/tt0120586/?ref_=chttp_i_41,아메리칸 히스토리 X
https://www.imdb.com/title/tt0361748/?ref_=chttp_i_70,바스터즈: 거친 녀석들
https://www.imdb.com/title/tt0118799/?ref_=chttp_i_27,La vita è bella
https://www.imdb.com/title/tt0054215/?ref_=chttp_i_35,싸이코
https://www.imdb.com/title/tt0112641/?ref_=chttp_i_142,카지노
https://www.imdb.com/title/tt1375666/?ref_=chttp_i_14,인셉션
https://www.imdb.com/title/tt0064116/?ref_=chttp_i_53,원스 어폰 어 타임 인 더 웨스트
https://www.imdb.com/title/tt0120689/?ref_=chttp_i_26,그린 마일
https://www.imdb.com/title/tt2278388/?ref_=chttp_i_190,The Grand Budapest Hotel
https://www.imdb.com/title/tt0986264/?ref_=chttp_i_119,Like Stars on Earth
https://www.imdb.com/title/tt0120815/?ref_=chttp_i_24,라이언 일병 구하기
https://www.imdb.com/title/tt0040897/?ref_=chttp_i_152,The Treasure of the Sierra Madre
https://www.imdb.com/title/tt0075148/?ref_=chttp_i_214,록키
https://www.imdb.com/title/tt0078748/?ref_=chttp_i_50,에이리언
https://www.imdb.com/title/tt0062622/?ref_=chttp_i_97,2001: A Space Odyssey
https://www.imdb.com/title/tt0056592/?ref_=chttp_i_114,To Kill a Mockingbird
https://www.imdb.com/title/tt0405159/?ref_=chttp_i_181,밀리언 달러 베이비
https://www.imdb.com/title/tt0095327/?ref_=chttp_i_38,반딧불이의 묘
https://www.imdb.com/title/tt0113277/?ref_=chttp_i_107,히트
https://www.imdb.com/title/tt16492678/?ref_=chttp_i_177,귀멸의 칼날: 장구저택 편
https://www.imdb.com/title/tt0075314/?ref_=chttp_i_127,Taxi Driver
https://www.imdb.com/title/tt0057115/?ref_=chttp_i_156,The Great Escape
https://www.imdb.com/title/tt0103064/?ref_=chttp_i_28,Teomineiteo 2
https://www.imdb.com/title/tt0435761/?ref_=chttp_i_92,토이 스토리 3
https://www.imdb.com/title/tt0372784/?ref_=chttp_i_130,배트맨 비긴즈
https://www.imdb.com/title/tt0364569/?ref_=chttp_i_75,Oldeuboi
https://www.imdb.com/title/tt0993846/?ref_=chttp_i_129,더 울프 오브 월 스트리트
https://www.imdb.com/title/tt23849204/?ref_=chttp_i_61,12th Fail
https://www.imdb.com/title/tt1895587/?ref_=chttp_i_218,스포트라이트
https://www.imdb.com/title/tt0198781/?ref_=chttp_i_197,"Monsters, Inc."
https://www.imdb.com/title/tt0056172/?ref_=chttp_i_100,Lawrence of Arabia
https://www.imdb.com/title/tt0129167/?ref_=chttp_i_241,The Iron Giant
https://www.imdb.com/title/tt0060196/?ref_=chttp_i_10,석양의 무법자
https://www.imdb.com/title/tt7286456/?ref_=chttp_i_85,조커
https://www.imdb.com/title/tt0058946/?ref_=chttp_i_242,La battaglia di Algeri
https://www.imdb.com/title/tt0061512/?ref_=chttp_i_250,Cool Hand Luke
https://www.imdb.com/title/tt0089881/?ref_=chttp_i_145,Ran
https://www.imdb.com/title/tt0097165/?ref_=chttp_i_192,죽은 시인의 사회
https://www.imdb.com/title/tt0353969/?ref_=chttp_i_194,Salinui chueok
https://www.imdb.com/title/tt0046438/?ref_=chttp_i_215,동경 이야기
https://www.imdb.com/title/tt15097216/?ref_=chttp_i_226,Jai Bhim
https://www.imdb.com/title/tt0167260/?ref_=chttp_i_6,반지의 제왕: 왕의 귀환
https://www.imdb.com/title/tt0055031/?ref_=chttp_i_135,뉘른베르크의 재판
https://www.imdb.com/title/tt0268978/?ref_=chttp_i_150,A Beautiful Mind
https://www.imdb.com/title/tt0172495/?ref_=chttp_i_33,글래디에이터
